Name,Type,Location,Objective,Industry,,,,,,Description,Source
ISO 31000,Standard,Global,Risk management,All industries,,,,,,"Provides a structured approach to risk management, covering risk identification, assessment, and treatment.",https://www.iso.org/standard/65694.html
ISO/IEC 27001,Regulation,Global,Information security,"IT, Finance, Healthcare",,,,,,"Specifies requirements for an information security management system (ISMS), including risk assessment and treatment to protect sensitive information.","ISO/IEC 27001:2022/Amd 1:2024 - Information security, cybersecurity and privacy protection ? Information security management systems ? Requirements ? Amendment 1: Climate action changes"
ISO 22301,Regulation,Global,Business continuity ,"IT, Finance, Healthcare",,,,,,"Provides guidelines for information security risk management, offering a systematic approach to identifying, assessing, and managing risks.","ISO 22301:2019/Amd 1:2024(en), Security and resilience ? Business continuity management systems ? Requirements ? AMENDMENT 1: Climate action changes"
ISO/IEC 27002,Standard,Global,Information security,"IT, Finance, Healthcare",,,,,,"Provides guidelines for implementing and managing information security controls, offering best practices for protecting sensitive data and systems.",https://www.iso.org/standard/75652.html
ISO/IEC 27005,Guideline,Global,Information security,"IT, Finance, Healthcare",,,,,,"Provides guidelines for information security risk management, focusing on risk assessment, treatment, and control implementation.",ISO/IEC 27005:2022 - Guidance on managing information security risks
ISO/IEC 27017,Guideline,Global,Cloud Security,"IT, Cloud Service Providers",,,,,,"Provides guidelines for information security controls for cloud services, focusing on the protection of data in the cloud environment.",ISO/IEC 27017:2015 - Security techniques ? Code of practice for information security controls based on ISO/IEC 27002 for cloud services
ISO/IEC 27018,Guideline,Global,Cloud Privacy,"IT, Cloud Service Providers",,,,,,"Specifies guidelines for protecting personal data in the cloud, focusing on privacy controls for cloud service providers.",ISO/IEC 27018:2019 - Protection of personally identifiable information (PII) in public clouds acting as PII processors
ISO/IEC 27032,Guideline,Global,Cybersecurity,"IT, Government",,,,,,"Provides guidelines for improving cybersecurity, offering frameworks and practices to manage risks related to cyber threats and vulnerabilities.",https://www.iso.org/standard/76070.html
ISO/IEC 20000-1,Regulation,Global,IT Service Management,All industries,,,,,,"Defines requirements for an IT service management system (SMS), focusing on delivering quality IT services and managing related risks.",ISO/IEC 20000-1:2018/Amd 1:2024 - Information technology ? Service management ? Part 1: Service management system requirements ? Amendment 1: Climate action changes
"ISO/IEC 22301 (UNDER REVIEW INFO MAY NOT BE ACCURATE, AMD1: 2024 (recommended))",Regulation,Global ,Business continuity ,All industries,,,,,,Specifies the requirements for a Business Continuity Management System (BCMS) to ensure the resilience of critical business operations in the face of disruption.,ISO 22301:2019/Amd 1:2024 - Security and resilience ? Business continuity management systems ? Requirements ? Amendment 1: Climate action changes
